search,id,arxiv_url,topic,arxiv_title,github_URL,Star,has_installation,h1,h2,h3,h4,h5,h6,text,method_type,time_accessed,comments Annotator 1,
arxiv.API,https://arxiv.org/abs/2408.14343,https://arxiv.org/abs/2408.14343,cs.CV q-bio.QM,A Brief Analysis of the Iterative Next Boundary Detection Network for Tree Rings Delineation in Images of Pinus taeda,https://github.com/hmarichal93/mlbrief_inbd,1,TRUE,,,### INBD,,,,"### INBD
Go to ./INBD
 center mask images are located using during the inference.",,,,
arxiv.API,https://arxiv.org/abs/2408.14343,https://arxiv.org/abs/2408.14343,cs.CV q-bio.QM,A Brief Analysis of the Iterative Next Boundary Detection Network for Tree Rings Delineation in Images of Pinus taeda,https://github.com/hmarichal93/mlbrief_inbd,1,TRUE,,,### UruDendro,,,,"### INBD
Go to ./INBD
 center mask images are located using during the inference.",,,,
arxiv.API,https://arxiv.org/abs/2408.11707,https://arxiv.org/abs/2408.11707,q-bio.OT,biorecap: an R package for summarizing bioRxiv preprints with a local LLM,https://github.com/stephenturner/biorecap,47,TRUE,,Installation,,,,,"install biorecap from GitHub (keep `dependencies=TRUE` to get Suggests
packages needed to create the HTML report):

``` r
# install.packages(""remotes"")
remotes::install_github(""stephenturner/biorecap"", dependencies=TRUE)",package_manager,,,
arxiv.API,https://arxiv.org/abs/2408.05258,https://arxiv.org/abs/2408.05258,q-bio.GN cs.AI cs.LG,scASDC: Attention Enhanced Structural Deep Clustering for Single-cell RNA-seq Data,https://github.com/wenwenmin/scASDC,13,TRUE,,Requirements,,,,,"`scASDC` method mainly relies on the following Python packages:
```
numpy
scanpy
scikit-learn
torch
pandas
h5py
scipy
```
For more detailed settings, please refer to: [requirement.txt](requirement.txt).",source,,it provides only requirement.txt,
arxiv.API,https://arxiv.org/abs/2408.08316,https://arxiv.org/abs/2408.08316,q-bio.TO cs.LG,SepAl: Sepsis Alerts On Low Power Wearables With Digital Biomarkers and On-Device Tiny Machine Learning,https://github.com/mgiordy/sepsis-prediction,0,TRUE,,,Installation,,,,"###  Installation

<h4>From <code>source</code></h4>

> 1. Clone the  repository:
>
> ```console
> $ git clone https://git.ee.ethz.ch/pbl/research/sepsis_prediction
> ```
>
> 2. Change to the project directory:
> ```console
> $ cd sepsis_prediction
> ```
>
> 3. Install the dependencies:
> ```console
> $ pip install -r requirements.txt
> ```",source,,,
pwc.greatest,,,,,https://github.com/tensorflow/tensorflow,"185,472",TRUE,,Install,,,,,"See the [TensorFlow install guide](https://www.tensorflow.org/install) for the
[pip package](https://www.tensorflow.org/install/pip), to
[enable GPU support](https://www.tensorflow.org/install/gpu), use a
[Docker container](https://www.tensorflow.org/install/docker), and
[build from source](https://www.tensorflow.org/install/source).

To install the current release, which includes support for
[CUDA-enabled GPU cards](https://www.tensorflow.org/install/gpu) *(Ubuntu and
Windows)*:

```
$ pip install tensorflow
```

Other devices (DirectX and MacOS-metal) are supported using
[Device plugins](https://www.tensorflow.org/install/gpu_plugins#available_devices).

A smaller CPU-only package is also available:

```
$ pip install tensorflow-cpu
```

To update TensorFlow to the latest version, add `--upgrade` flag to the above
commands.

*Nightly binaries are available for testing using the
[tf-nightly](https://pypi.python.org/pypi/tf-nightly) and
[tf-nightly-cpu](https://pypi.python.org/pypi/tf-nightly-cpu) packages on PyPi.*

#### *Try your first TensorFlow program*

```shell
$ python
```

```python
>>> import tensorflow as tf
>>> tf.add(1, 2).numpy()
3
>>> hello = tf.constant('Hello, TensorFlow!')
>>> hello.numpy()
b'Hello, TensorFlow!'
```

For more examples, see the
[TensorFlow tutorials](https://www.tensorflow.org/tutorials/).","package manager,container,binary",,from the header we cant predict which method is. We need to add the `TEXT`  field,
pwc.greatest,,,,,https://github.com/huggingface/transformers,"132,008",TRUE,,Installation,With pip,,,,"This repository is tested on Python 3.8+, Flax 0.4.1+, PyTorch 1.11+, and TensorFlow 2.6+.

You should install __ Transformers in a [virtual environment](https://docs.python.org/3/library/venv.html). If you're unfamiliar with Python virtual environments, check out the [user guide](https://packaging.python.org/guides/installing-using-pip-and-virtual-environments/).

First, create a virtual environment with the version of Python you're going to use and activate it.

Then, you will need to install at least one of Flax, PyTorch, or TensorFlow.
Please refer to [TensorFlow installation page](https://www.tensorflow.org/install/), [PyTorch installation page](https://pytorch.org/get-started/locally/#start-locally) and/or [Flax](https://github.com/google/flax#quick-install) and [Jax](https://github.com/google/jax#installation) installation pages regarding the specific installation command for your platform.

When one of those backends has been installed, __ Transformers can be installed using pip as follows:

```bash
pip install transformers
```

If you'd like to play with the examples or need the bleeding edge of the code and can't wait for a new release, you must [install the library from source](https://huggingface.co/docs/transformers/installation#installing-from-source).",package_manager,,,
pwc.greatest,,,,,https://github.com/huggingface/transformers,"132,008",TRUE,,Installation,With conda,,,,"__ Transformers can be installed using conda as follows:

```shell script
conda install conda-forge::transformers
```

> **_NOTE:_** Installing `transformers` from the `huggingface` channel is deprecated.

Follow the installation pages of Flax, PyTorch or TensorFlow to see how to install them with conda.

> **_NOTE:_**  On Windows, you may be prompted to activate Developer Mode in order to benefit from caching. If this is not an option for you, please let us know in [this issue](https://github.com/huggingface/huggingface_hub/issues/1062).",package_manager,,,
pwc.greatest,,,,,https://github.com/hwchase17/langchain,"92,298",TRUE,,Quick Install,,,,,"With pip:

```bash
pip install langchain
```

With conda:

```bash
conda install langchain -c conda-forge",package_manager,,from the header we cant predict which method is. We need to add the `TEXT`  field,
pwc.greatest,,,,,https://github.com/pytorch/pytorch,"82,127",TRUE,,Installation,Binaries,,,,Commands to install binaries via Conda or pip wheels are on our website: [https://pytorch.org/get-started/locally/](https://pytorch.org/get-started/locally/),binary,,,
pwc.greatest,,,,,https://github.com/pytorch/pytorch,"82,127",TRUE,,,,NVIDIA Jetson Platforms,,,"Python wheels for NVIDIA's Jetson Nano, Jetson TX1/TX2, Jetson Xavier NX/AGX, and Jetson AGX Orin are provided [here](https://forums.developer.nvidia.com/t/pytorch-for-jetson-version-1-10-now-available/72048) and the L4T container is published [here](https://catalog.ngc.nvidia.com/orgs/nvidia/containers/l4t-pytorch)

They require JetPack 4.2 and above, and [@dusty-nv](https://github.com/dusty-nv) and [@ptrblck](https://github.com/ptrblck) are maintaining them.",,,,
pwc.greatest,,,,,https://github.com/pytorch/pytorch,"82,127",TRUE,,Installation,From Source,,,,,source,,,
pwc.greatest,,,,,https://github.com/pytorch/pytorch,"82,127",TRUE,,,,Prerequisites,,,"If you are installing from source, you will need:
- Python 3.8 or later (for Linux, Python 3.8.1+ is needed)
- A compiler that fully supports C++17, such as clang or gcc (gcc 9.4.0 or newer is required, on Linux)
- Visual Studio or Visual Studio Build Tool on Windows

\* PyTorch CI uses Visual C++ BuildTools, which come with Visual Studio Enterprise,
Professional, or Community Editions. You can also install the build tools from
https://visualstudio.microsoft.com/visual-cpp-build-tools/. The build tools *do not*
come with Visual Studio Code by default.

\* We highly recommend installing an [Anaconda](https://www.anaconda.com/download) environment. You will get a high-quality BLAS library (MKL) and you get controlled dependency versions regardless of your Linux distro.

An example of environment setup is shown below:

* Linux:

```bash
$ source <CONDA_INSTALL_DIR>/bin/activate
$ conda create -y -n <CONDA_NAME>
$ conda activate <CONDA_NAME>
```

* Windows:

```bash
$ source <CONDA_INSTALL_DIR>\Scripts\activate.bat
$ conda create -y -n <CONDA_NAME>
$ conda activate <CONDA_NAME>
$ call ""C:\Program Files\Microsoft Visual Studio\<VERSION>\Community\VC\Auxiliary\Build\vcvarsall.bat"" x64",,,,
pwc.greatest,,,,,https://github.com/pytorch/pytorch,"82,127",TRUE,,,,,NVIDIA CUDA Support,,"If you want to compile with ROCm support, install
- [AMD ROCm](https://rocm.docs.amd.com/en/latest/deploy/linux/quick_start.html) 4.0 and above installation
- ROCm is currently supported only for Linux systems.

By default the build system expects ROCm to be installed in `/opt/rocm`. If ROCm is installed in a different directory, the `ROCM_PATH` environment variable must be set to the ROCm installation directory. The build system automatically detects the AMD GPU architecture. Optionally, the AMD GPU architecture can be explicitly set with the `PYTORCH_ROCM_ARCH` environment variable [AMD GPU architecture](https://rocm.docs.amd.com/projects/install-on-linux/en/latest/reference/system-requirements.html#supported-gpus)

If you want to disable ROCm support, export the environment variable `USE_ROCM=0`.
Other potentially useful environment variables may be found in `setup.py`.",,,,
pwc.greatest,,,,,https://github.com/pytorch/pytorch,"82,127",TRUE,,,,,Intel GPU Support,,"If you want to compile with Intel GPU support, follow these
- [PyTorch Prerequisites for Intel GPUs](https://www.intel.com/content/www/us/en/developer/articles/tool/pytorch-prerequisites-for-intel-gpus.html) instructions.
- Intel GPU is supported for Linux and Windows.

If you want to disable Intel GPU support, export the environment variable `USE_XPU=0`.
Other potentially useful environment variables may be found in `setup.py`.",,,,
pwc.greatest,,,,,https://github.com/pytorch/pytorch,"82,127",TRUE,,,,Get the PyTorch Source,,,"```bash
git clone --recursive https://github.com/pytorch/pytorch
cd pytorch
# if you are updating an existing checkout
git submodule sync
git submodule update --init --recursive
```",,,,
pwc.greatest,,,,,https://github.com/pytorch/pytorch,"82,127",TRUE,,,,Install Dependencies,,,"**Common**

```bash
conda install cmake ninja
# Run this command on native Windows
conda install rust
# Run this command from the PyTorch directory after cloning the source code using the “Get the PyTorch Source“ section below
pip install -r requirements.txt
```

**On Linux**

```bash
pip install mkl-static mkl-include
# CUDA only: Add LAPACK support for the GPU if needed
conda install -c pytorch magma-cuda121  # or the magma-cuda* that matches your CUDA version from https://anaconda.org/pytorch/repo

# (optional) If using torch.compile with inductor/triton, install the matching version of triton
# Run from the pytorch directory after cloning
# For Intel GPU support, please explicitly `export USE_XPU=1` before running command.
make triton
```

**On MacOS**

```bash
# Add this package on intel x86 processor machines only
pip install mkl-static mkl-include
# Add these packages if torch.distributed is needed
conda install pkg-config libuv
```

**On Windows**

```bash
pip install mkl-static mkl-include
# Add these packages if torch.distributed is needed.
# Distributed package support on Windows is a prototype feature and is subject to changes.
conda install -c conda-forge libuv=1.39",,,,
pwc.greatest,,,,,https://github.com/pytorch/pytorch,"82,127",TRUE,,,,Install PyTorch,,,"**On Linux**

If you would like to compile PyTorch with [new C++ ABI](https://gcc.gnu.org/onlinedocs/libstdc++/manual/using_dual_abi.html) enabled, then first run this command:
```bash
export _GLIBCXX_USE_CXX11_ABI=1
```

Please **note** that starting from PyTorch 2.5, the PyTorch build with XPU supports both new and old C++ ABIs. Previously, XPU only supported the new C++ ABI. If you want to compile with Intel GPU support, please follow [Intel GPU Support](#intel-gpu-support).

If you're compiling for AMD ROCm then first run this command:
```bash
# Only run this if you're compiling for ROCm
python tools/amd_build/build_amd.py
```

Install PyTorch
```bash
export CMAKE_PREFIX_PATH=${CONDA_PREFIX:-""$(dirname $(which conda))/../""}
python setup.py develop
```

> _Aside:_ If you are using [Anaconda](https://www.anaconda.com/distribution/#download-section), you may experience an error caused by the linker:
>
> ```plaintext
> build/temp.linux-x86_64-3.7/torch/csrc/stub.o: file not recognized: file format not recognized
> collect2: error: ld returned 1 exit status
> error: command 'g++' failed with exit status 1
> ```
>
> This is caused by `ld` from the Conda environment shadowing the system `ld`. You should use a newer version of Python that fixes this issue. The recommended Python version is 3.8.1+.

**On macOS**

```bash
python3 setup.py develop
```

**On Windows**

If you want to build legacy python code, please refer to [Building on legacy code and CUDA](https://github.com/pytorch/pytorch/blob/main/CONTRIBUTING.md#building-on-legacy-code-and-cuda)

**CPU-only builds**

In this mode PyTorch computations will run on your CPU, not your GPU

```cmd
python setup.py develop
```

Note on OpenMP: The desired OpenMP implementation is Intel OpenMP (iomp). In order to link against iomp, you'll need to manually download the library and set up the building environment by tweaking `CMAKE_INCLUDE_PATH` and `LIB`. The instruction [here](https://github.com/pytorch/pytorch/blob/main/docs/source/notes/windows.rst#building-from-source) is an example for setting up both MKL and Intel OpenMP. Without these configurations for CMake, Microsoft Visual C OpenMP runtime (vcomp) will be used.

**CUDA based build**

In this mode PyTorch computations will leverage your GPU via CUDA for faster number crunching

[NVTX](https://docs.nvidia.com/gameworks/content/gameworkslibrary/nvtx/nvidia_tools_extension_library_nvtx.htm) is needed to build Pytorch with CUDA.
NVTX is a part of CUDA distributive, where it is called ""Nsight Compute"". To install it onto an already installed CUDA run CUDA installation once again and check the corresponding checkbox.
Make sure that CUDA with Nsight Compute is installed after Visual Studio.

Currently, VS 2017 / 2019, and Ninja are supported as the generator of CMake. If `ninja.exe` is detected in `PATH`, then Ninja will be used as the default generator, otherwise, it will use VS 2017 / 2019.
<br/> If Ninja is selected as the generator, the latest MSVC will get selected as the underlying toolchain.

Additional libraries such as
[Magma](https://developer.nvidia.com/magma), [oneDNN, a.k.a. MKLDNN or DNNL](https://github.com/oneapi-src/oneDNN), and [Sccache](https://github.com/mozilla/sccache) are often needed. Please refer to the [installation-helper](https://github.com/pytorch/pytorch/tree/main/.ci/pytorch/win-test-helpers/installation-helpers) to install them.

You can refer to the [build_pytorch.bat](https://github.com/pytorch/pytorch/blob/main/.ci/pytorch/win-test-helpers/build_pytorch.bat) script for some other environment variables configurations


```cmd
cmd

:: Set the environment variables after you have downloaded and unzipped the mkl package,
:: else CMake would throw an error as `Could NOT find OpenMP`.
set CMAKE_INCLUDE_PATH={Your directory}\mkl\include
set LIB={Your directory}\mkl\lib;%LIB%

:: Read the content in the previous section carefully before you proceed.
:: [Optional] If you want to override the underlying toolset used by Ninja and Visual Studio with CUDA, please run the following script block.
:: ""Visual Studio 2019 Developer Command Prompt"" will be run automatically.
:: Make sure you have CMake >= 3.12 before you do this when you use the Visual Studio generator.
set CMAKE_GENERATOR_TOOLSET_VERSION=14.27
set DISTUTILS_USE_SDK=1
for /f ""usebackq tokens=*"" %i in (`""%ProgramFiles(x86)%\Microsoft Visual Studio\Installer\vswhere.exe"" -version [15^,17^) -products * -latest -property installationPath`) do call ""%i\VC\Auxiliary\Build\vcvarsall.bat"" x64 -vcvars_ver=%CMAKE_GENERATOR_TOOLSET_VERSION%

:: [Optional] If you want to override the CUDA host compiler
set CUDAHOSTCXX=C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\VC\Tools\MSVC\14.27.29110\bin\HostX64\x64\cl.exe

python setup.py develop

```",,,,
pwc.greatest,,,,,https://github.com/pytorch/pytorch,"82,127",TRUE,,,,,Adjust Build Options (Optional),,"You can adjust the configuration of cmake variables optionally (without building first), by doing
the following. For example, adjusting the pre-detected directories for CuDNN or BLAS can be done
with such a step.

On Linux
```bash
export CMAKE_PREFIX_PATH=${CONDA_PREFIX:-""$(dirname $(which conda))/../""}
python setup.py build --cmake-only
ccmake build  # or cmake-gui build
```

On macOS
```bash
export CMAKE_PREFIX_PATH=${CONDA_PREFIX:-""$(dirname $(which conda))/../""}
MACOSX_DEPLOYMENT_TARGET=10.9 CC=clang CXX=clang++ python setup.py build --cmake-only
ccmake build  # or cmake-gui build
```",,,,
pwc.greatest,,,,,https://github.com/pytorch/pytorch,"82,127",TRUE,,Installation,Docker Image,,,,,container,,,
pwc.greatest,,,,,https://github.com/pytorch/pytorch,"82,127",TRUE,,,,Using pre-built images,,,"You can also pull a pre-built docker image from Docker Hub and run with docker v19.03+

```bash
docker run --gpus all --rm -ti --ipc=host pytorch/pytorch:latest
```

Please note that PyTorch uses shared memory to share data between processes, so if torch multiprocessing is used (e.g.
for multithreaded data loaders) the default shared memory segment size that container runs with is not enough, and you
should increase shared memory size either with `--ipc=host` or `--shm-size` command line options to `nvidia-docker run`.",,,,
pwc.greatest,,,,,https://github.com/pytorch/pytorch,"82,127",TRUE,,,,Building the image yourself,,,"**NOTE:** Must be built with a docker version > 18.06

The `Dockerfile` is supplied to build images with CUDA 11.1 support and cuDNN v8.
You can pass `PYTHON_VERSION=x.y` make variable to specify which Python version is to be used by Miniconda, or leave it
unset to use the default.

```bash
make -f docker.Makefile
# images are tagged as docker.io/${your_docker_username}/pytorch
```

You can also pass the `CMAKE_VARS=""...""` environment variable to specify additional CMake variables to be passed to CMake during the build.
See [setup.py](./setup.py) for the list of available variables.

```bash
make -f docker.Makefile
```",,,,
pwc.greatest,,,,,https://github.com/tensorflow/models,"76,950",TRUE,,Installation,,Method 1: Install the TensorFlow Model Garden pip package,,,,"source, package manager",,,
pwc.greatest,,,,,https://github.com/tensorflow/models,"76,950",TRUE,,Installation,,Method 2: Clone the source,,,,,,,
pwc.greatest,,,,,https://github.com/compvis/stable-diffusion,"69,141",TRUE,,Requirements,,,,,"A suitable [conda](https://conda.io/) environment named `ldm` can be created
and activated with:

```
conda env create -f environment.yaml
conda activate ldm
```

You can also update an existing [latent diffusion](https://github.com/CompVis/latent-diffusion) environment by running

```
conda install pytorch torchvision -c pytorch
pip install transformers==4.19.2 diffusers invisible-watermark
pip install -e .
``` ",source,,environment.yaml,
pwc.greatest,,,,,https://github.com/openai/whisper,"67,527",TRUE,,Setup,,,,,"We used Python 3.9.9 and [PyTorch](https://pytorch.org/) 1.10.1 to train and test our models, but the codebase is expected to be compatible with Python 3.8-3.11 and recent PyTorch versions. The codebase also depends on a few Python packages, most notably [OpenAI's tiktoken](https://github.com/openai/tiktoken) for their fast tokenizer implementation. You can download and install (or update to) the latest release of Whisper with the following command:

    pip install -U openai-whisper

Alternatively, the following command will pull and install the latest commit from this repository, along with its Python dependencies:

    pip install git+https://github.com/openai/whisper.git 

To update the package to the latest version of this repository, please run:

    pip install --upgrade --no-deps --force-reinstall git+https://github.com/openai/whisper.git

It also requires the command-line tool [`ffmpeg`](https://ffmpeg.org/) to be installed on your system, which is available from most package managers:

```bash
# on Ubuntu or Debian
sudo apt update && sudo apt install ffmpeg

# on Arch Linux
sudo pacman -S ffmpeg

# on MacOS using Homebrew (https://brew.sh/)
brew install ffmpeg

# on Windows using Chocolatey (https://chocolatey.org/)
choco install ffmpeg

# on Windows using Scoop (https://scoop.sh/)
scoop install ffmpeg
```

You may need [`rust`](http://rust-lang.org) installed as well, in case [tiktoken](https://github.com/openai/tiktoken) does not provide a pre-built wheel for your platform. If you see installation errors during the `pip install` command above, please follow the [Getting started page](https://www.rust-lang.org/learn/get-started) to install Rust development environment. Additionally, you may need to configure the `PATH` environment variable, e.g. `export PATH=""$HOME/.cargo/bin:$PATH""`. If the installation fails with `No module named 'setuptools_rust'`, you need to install `setuptools_rust`, e.g. by running:

```bash
pip install setuptools-rust
```",package_manager,,,
pwc.greatest,,,,,https://github.com/ggerganov/llama.cpp,"64,931",TRUE,,Usage,Basic usage,,,,"- Method 1: Clone this repository and build locally, see [how to build](./docs/build.md)",source,,,
pwc.greatest,,,,,https://github.com/ggerganov/llama.cpp,"64,931",TRUE,,Usage,Basic usage,,,,"- Method 2: If you are using MacOS or Linux, you can install llama.cpp via [brew, flox or nix](./docs/install.md)",package_manager,,,
pwc.greatest,,,,,https://github.com/ggerganov/llama.cpp,"64,931",TRUE,,Usage,Basic usage,,,,"- Method 3: Use a Docker image, see [documentation for Docker](./docs/docker.md)",container,,,
pwc.greatest,,,,,https://github.com/ggerganov/llama.cpp,"64,931",TRUE,,Usage,Basic usage,,,,- Method 4: Download pre-built binary from [releases](https://github.com/ggerganov/llama.cpp/releases),binary,,,
,,,,,https://github.com/tesseract-ocr/tesseract,"60,991",TRUE,,Installing Tesseract,,,,,"You can either [Install Tesseract via pre-built binary package](https://tesseract-ocr.github.io/tessdoc/Installation.html)
or [build it from source](https://tesseract-ocr.github.io/tessdoc/Compiling.html).

Before building Tesseract from source, please check that your system has a compiler which is one of the [supported compilers](https://tesseract-ocr.github.io/tessdoc/supported-compilers.html).","binary, source",,from external sources,
bio.tools.updated.latest,https://bio.tools/crocodeel,,,,https://github.com/metagenopolis/CroCoDeEL,5,TRUE,,Installations,,,,,"## Installation

CroCoDeEL is available on bioconda:
```
conda create --name crocodeel_env -c conda-forge -c bioconda crocodeel
conda activate crocodeel_env
```

Alternatively, you can use pip:
```
pip install crocodeel
```

Finally, you can test that CroCoDeEL is correctly installed with the following command:
```
crocodeel test_install
```",package_manager,,,
bio.tools.updated.latest,https://bio.tools/bcftools,,,,https://github.com/samtools/bcftools,,FALSE,,,,,,,,,,,
bio.tools.updated.latest,https://bio.tools/htslib,,,,https://github.com/samtools/htslib/blob/develop/INSTALL,,TRUE,,,,,,,,,,Install.me,
bio.tools.updated.latest,https://bio.tools/sirius,,,,https://github.com/sirius-ms/sirius/blob/stable/README.md,,TRUE,,,[Installation](https://v6.docs.sirius-ms.io/install),,,,"For  Windows and MacOS, the installer version of SIRIUS (msi/pkg) should be preferred but might require administrator permissions.

Since we do not pay Microsoft/Apple for certification, you might have to confirm that you want to trust ""software from
an unknown source"" on Windows/MacOS when using the installers provided by the Böcker group.
Therefore, we highly recommend using the [**signed** installers](https://github.com/bright-giant/sirius/releases) provided by
[Bright Giant](https://bright-giant.com) (also linked above).
These installers ease the installation process by triggering no (or less) security issues of the respective OS.

See the [documentation](https://v6.docs.sirius-ms.io/install) for details.",system,,,
